artist_clean,macro_genre,sub_genre,energy_level,mood
djsm,electronic,dance music,high,"energetic, happy"
watsebha,other,experimental electronic,medium,"calm, psychedelic"
dal av,electronic,ambient techno,low,"calm, melancholic"
avril lavigne,pop,pop punk,medium,"happy, energetic"
the wanted,pop,dance pop,medium,"happy, energetic"
gregory isaacs,reggae,roots reggae,low,"calm, melancholic"
vanessa da mata,pop,brazilian pop,medium,"happy, calm"
dopamine,electronic,synth pop,medium,"calm, happy, energetic"
sapientdream,electronic,ambient chill,low,"calm, melancholic, psychedelic"
tnt,electronic,experimental ambient,low,"calm, melancholic"
sattivus,electronic,ambient techno,low,"calm, melancholic"
rexalted,electronic,synth pop,medium,"happy, energetic"
within temptation,metal,symphonic metal,medium,"melancholic, energetic"
cristiano arajo,other,sertanejo universitário,medium,"happy, energetic"
velocity,electronic,synthwave,medium,"energetic, happy"
arcade fire,rock,indie rock,medium,"melancholic, energetic"
cosmic tone,electronic,ambient downtempo,low,"calm, melancholic, psychedelic"
mikeeysmind,electronic,experimental ambient,low,"calm, melancholic"
nirvana,rock,grunge rock,medium,"melancholic, aggressive, energetic"
slumbering shaman,other,psychedelic rock,low,"calm, melancholic, psychedelic"
foxtune,electronic,synth pop,medium,"happy, energetic"
ana carolina,pop,brazilian pop,medium,"calm, happy, melancholic"
fall out boy,rock,pop punk,high,"energetic, happy, aggressive"
black eyed peas,hip_hop,pop rap,high,"happy, energetic"
invader space,electronic,synthwave ambient,medium,"calm, psychedelic"
calcinha preta,other,forró eletrônico,high,"happy, energetic"
pawan krishna,other,world music,medium,"calm, happy"
soothing oasis,electronic,ambient chill,low,"calm, melancholic"
yeti reggae club,reggae,dub reggae,medium,"calm, happy, psychedelic"
totem tone,electronic,ambient experimental,low,"calm, melancholic, psychedelic"
tranquil ceremony,electronic,ambient downtempo,low,"calm, melancholic"
tears for fears,rock,new wave,medium,"melancholic, energetic"
larcia dantas,other,experimental pop,medium,"calm, happy, melancholic"
alborosie,reggae,roots reggae,medium,"calm, happy, energetic"
escape the fate,rock,post-hardcore,high,"aggressive, energetic, melancholic"
lana del rey,pop,dream pop,low,"calm, melancholic"
motionless in white,metal,metalcore,high,"aggressive, energetic"
hindu chants,other,spiritual chants,low,"calm, melancholic"
slovak philharmonic,other,classical orchestra,low,"calm, melancholic"
supercombo,rock,alternative rock,medium,"happy, energetic, melancholic"
angrybaby,electronic,experimental pop,medium,"energetic, happy"
veil of maya,metal,progressive metal,high,"aggressive, energetic"
peggy gou,electronic,house techno,high,"happy, energetic"
expresso regueira,reggae,reggae fusion,medium,"happy, energetic"
sonic massala,electronic,experimental ambient,low,"calm, melancholic, psychedelic"
bastille,pop,indie pop rock,medium,"calm, melancholic, energetic"
guns n roses,rock,hard rock,high,"aggressive, energetic"
james blunt,pop,soft rock,low,"calm, melancholic"
nightwish,metal,symphonic metal,high,"energetic, melancholic, aggressive"
vxllain,electronic,experimental bass,high,"energetic, psychedelic"
turma do pagode,other,pagode samba,medium,"happy, energetic"
pisk,electronic,experimental ambient,low,"calm, melancholic"
catch your breath,pop,indie pop,medium,"happy, energetic, melancholic"
pop dog,pop,indie pop,medium,"happy, energetic"
taylor swift,pop,country pop,medium,"happy, melancholic"
tits,other,experimental pop,medium,"energetic, psychedelic"
atitude 67,pop,dance pop,high,"happy, energetic"
kordhell,electronic,lofi hip hop,low,"calm, melancholic"
kormac,electronic,electronic music,medium,"happy, energetic"
azzura,electronic,synth pop,medium,"calm, happy, energetic"
pink floyd,rock,progressive rock,medium,"calm, melancholic, psychedelic"
loud luxury,electronic,dance pop,high,"happy, energetic"
rihanna,pop,dance pop,high,"happy, energetic"
gusttavo lima,other,sertanejo universitário,medium,"happy, energetic"
poltergst,electronic,experimental ambient,low,"calm, melancholic, psychedelic"
pastel ghost,electronic,synth pop,medium,"calm, melancholic, psychedelic"
cypariss,electronic,ambient techno,low,"calm, melancholic"
dido,pop,singer-songwriter,low,"calm, melancholic"
while she sleeps,metal,metalcore,very_high,"aggressive, energetic"
odeon,electronic,ambient techno,low,"calm, melancholic"
jayz,hip_hop,"rap, hip hop, urban",medium,"energetic, aggressive, happy"
hallucinogen,electronic,psychedelic trance,high,"psychedelic, energetic"
starlab,electronic,synth pop,medium,"calm, happy, psychedelic"
porangu,electronic,ambient downtempo,low,"calm, melancholic"
ponto de equilbrio,reggae,roots reggae,medium,"calm, happy, melancholic"
thxsomch,electronic,experimental ambient,low,"calm, melancholic"
interworld,electronic,ambient techno,low,"calm, melancholic"
grey daze,rock,alternative rock,medium,"melancholic, energetic"
elley duh,pop,electropop,medium,"happy, energetic"
epica,metal,symphonic metal,high,"aggressive, energetic, melancholic"
faith no more,rock,alternative metal,medium,"aggressive, energetic, melancholic"
eldzhey,hip_hop,trap rap,high,"energetic, happy"
jeris johnson,rock,alternative rock,high,"energetic, aggressive"
millencolin,rock,punk rock,high,"energetic, happy, aggressive"
bruno mars,pop,R&B funk,medium,"happy, energetic"
hollie cook,reggae,reggae fusion,medium,"happy, calm"
pluvia,other,ambient pop,low,"calm, melancholic"
exaltasamba,other,samba pagode,medium,"happy, energetic"
durs,electronic,ambient techno,low,"calm, melancholic"
twenty one pilots,rock,alternative rock,medium,"energetic, melancholic, happy"
mokalamity,electronic,experimental ambient,low,"calm, melancholic"
prezioso,electronic,dance music,high,"happy, energetic"
miss may i,metal,metalcore,very_high,"aggressive, energetic"
faderhead,electronic,industrial techno,high,"energetic, aggressive"
aar,other,experimental ambient,low,"calm, melancholic"
ras sparrow,reggae,roots reggae,medium,"calm, happy"
october ends,rock,alternative rock,medium,"melancholic, energetic"
4i20,electronic,experimental ambient,low,"calm, melancholic"
opix,electronic,ambient techno,low,"calm, melancholic"
ashlee simpson,pop,pop rock,medium,"happy, energetic"
lord huron,rock,indie folk,medium,"calm, melancholic, happy"
reality test,electronic,experimental ambient,low,"calm, melancholic"
barrington levy,reggae,dancehall reggae,medium,"happy, energetic"
kate bush,rock,art pop,medium,"calm, melancholic, psychedelic"
lost frequencies,electronic,deep house,medium,"calm, happy, energetic"
american authors,pop,indie pop rock,medium,"happy, energetic"
chakra sound bath,electronic,ambient soundscapes,low,"calm, psychedelic"
loreena mckennitt,other,celtic folk,low,"calm, melancholic"
samra,hip_hop,trap rap,high,"energetic, aggressive"
brother culture,reggae,roots reggae,medium,"calm, happy, energetic"
all that remains,metal,metalcore,very_high,"aggressive, energetic"
tove lo,pop,electropop,medium,"happy, energetic, melancholic"
jacob,other,indie pop,medium,"calm, happy"
the cure,rock,post-punk alternative,medium,"melancholic, calm, psychedelic"
dj tony magic,electronic,dance music,high,"energetic, happy"
raa negra,other,experimental rock,medium,"melancholic, psychedelic"
racionais mcs,hip_hop,conscious rap,medium,"aggressive, melancholic, energetic"
amida nature sounds,other,nature sounds,low,calm
slayer,metal,thrash metal,very_high,"aggressive, energetic"
slowboy,electronic,chillwave ambient,low,"calm, melancholic"
shiuli subaya,other,experimental fusion,medium,"calm, melancholic, psychedelic"
mrblack,electronic,techno house,high,"energetic, happy"
the strokes,rock,indie rock,medium,"energetic, happy, melancholic"
bob sinclar,electronic,house music,high,"happy, energetic"
darky,hip_hop,alternative rap,medium,"melancholic, energetic"
april shower,pop,indie pop,medium,"calm, happy, melancholic"
white noise radiance,electronic,ambient noise,low,"calm, melancholic, psychedelic"
thornhill,rock,alternative metal,medium,"melancholic, energetic"
sister nancy,reggae,dancehall,medium,"happy, energetic"
niccol paganini,other,classical violin,medium,"calm, melancholic"
brad sucks,rock,alternative rock,medium,"melancholic, energetic"
interactive noise,electronic,experimental noise,medium,"psychedelic, energetic"
aurorawave,electronic,synthwave ambient,medium,"calm, melancholic, psychedelic"
circuito reggae,reggae,circuit reggae,medium,"calm, happy, energetic"
capleton,reggae,dancehall,medium,"happy, energetic"
cidade negra,reggae,roots reggae,medium,"calm, happy, melancholic"
ahzura,electronic,synth pop,medium,"happy, energetic"
ullien,electronic,ambient techno,low,"calm, melancholic"
10 years,rock,alternative metal,medium,"melancholic, energetic"
flo rida,hip_hop,pop rap,high,"happy, energetic"
mr nobody,other,experimental electronic,medium,"calm, melancholic, psychedelic"
taproot,rock,alternative metal,high,"aggressive, energetic"
shamanic guru,other,shamanic music,low,"calm, psychedelic"
massivebass,electronic,bass music,high,"energetic, happy"
camelphat,electronic,house music,high,"energetic, happy"
marcelo falco,other,experimental electronic,medium,"calm, psychedelic"
echoes of old stories,other,ambient folk,low,"calm, melancholic"
dubvision,electronic,progressive house,high,"happy, energetic"
via axis,electronic,ambient techno,low,"calm, melancholic"
marc benjamin,electronic,progressive house,high,"energetic, happy"
sevenn,electronic,house music,high,"energetic, happy"
testament,metal,thrash metal,very_high,"aggressive, energetic"
monod,electronic,ambient techno,low,"calm, melancholic"
chitozinho xoror,other,sertanejo music,medium,"happy, energetic"
frejat,rock,alternative rock,medium,"calm, melancholic, happy"
lil nas x,hip_hop,trap pop rap,high,"happy, energetic"
chinmaya mission,other,spiritual music,low,"calm, melancholic"
darvin,electronic,synth pop,medium,"happy, energetic"
energy healer,other,ambient healing,low,"calm, melancholic"
sticky fingers,rock,psychedelic rock,medium,"calm, melancholic, energetic"
hoobastank,rock,alternative rock,medium,"energetic, melancholic"
tibagi e miltinho,other,brazilian folk,medium,"calm, happy"
cristoph,electronic,house music,high,"energetic, happy"
hybit,electronic,ambient techno,low,"calm, melancholic"
lamb of god,metal,groove metal,very_high,"aggressive, energetic"
union jack,electronic,trance progressive,medium,"calm, psychedelic, energetic"
fam0uz,hip_hop,trap rap,high,"energetic, happy"
victor cena,other,experimental pop,medium,"calm, happy, energetic"
tool,metal,progressive metal,high,"aggressive, psychedelic, energetic"
indra,electronic,ambient downtempo chill,low,"calm, melancholic, psychedelic"
botond,electronic,ambient techno,low,"calm, melancholic"
eclip,electronic,ambient techno,low,"calm, melancholic"
shouse,electronic,dance pop,high,"happy, energetic"
novah,electronic,synth pop,medium,"calm, happy, energetic"
allaby,electronic,ambient techno,low,"calm, melancholic"
rain rec,electronic,ambient chill,low,"calm, melancholic"
jota quest,pop,rock pop band,medium,"happy, energetic"
shaman voices,other,world music,medium,"calm, psychedelic, melancholic"
night tales,electronic,synth pop,medium,"calm, happy, energetic"
akiaura,electronic,synth pop,medium,"calm, happy, energetic"
special m,electronic,experimental ambient,low,"calm, melancholic"
the healing buddha,other,psychedelic rock,medium,"calm, psychedelic, melancholic"
harmonika,other,experimental electronic,medium,"calm, psychedelic"
pnk,pop,electropop,medium,"happy, energetic"
gama bomb,metal,thrash metal,very_high,"aggressive, energetic"
blessthefall,metal,post-hardcore,high,"aggressive, energetic"
dillon francis,electronic,moombahton trap,high,"happy, energetic"
gabriel s,electronic,ambient techno,low,"calm, melancholic"
donaleda,electronic,ambient techno,low,"calm, melancholic"
afi,rock,post-hardcore punk,high,"aggressive, energetic, melancholic"
dusty kid,electronic,techno minimal,high,"energetic, psychedelic"
dias de truta,other,experimental rock,medium,"calm, melancholic, psychedelic"
brns,rock,indie pop,medium,"happy, energetic, psychedelic"
dj kuba,electronic,dance music,high,"energetic, happy"
agneton,electronic,ambient techno,low,"calm, melancholic"
the namaste,other,experimental ambient,low,"calm, melancholic, psychedelic"
twisted,electronic,experimental electronic,medium,"psychedelic, energetic"
r3hab,electronic,dance music,very_high,"happy, energetic"
mc wm,hip_hop,trap rap,high,"energetic, aggressive"
jeetu bhowmik,other,independent artist,medium,"calm, happy"
jah i ras,reggae,roots reggae,medium,"calm, happy, melancholic"
shtuby,electronic,experimental ambient,low,"calm, melancholic"
shawn mendes,pop,pop rock,medium,"happy, energetic, calm"
vic vision,hip_hop,alternative rap,medium,"energetic, happy"
sia,pop,electropop,medium,"calm, happy, melancholic"
djantrix,electronic,psytrance,high,"energetic, psychedelic"
50 cent,hip_hop,gangsta rap,high,"aggressive, energetic"
malifoo,electronic,experimental ambient,low,"calm, melancholic"
rem,rock,alternative rock,medium,"melancholic, calm"
fovos,electronic,ambient techno,low,"calm, melancholic"
zahar,electronic,ambient techno,low,"calm, melancholic"
luthier,other,experimental rock,medium,"calm, psychedelic"
lunar skybox,electronic,ambient chillwave,low,"calm, melancholic, psychedelic"
moti,electronic,future bass,high,"happy, energetic"
lulu santos,pop,brazilian pop,medium,"happy, melancholic"
dr dre,hip_hop,gangsta rap,high,"aggressive, energetic"
alchimyst,electronic,ambient techno,medium,"calm, psychedelic"
dom dolla,electronic,house music,high,"happy, energetic"
psydewise,electronic,psychedelic trance,high,"energetic, psychedelic"
silverchair,rock,alternative rock,medium,"melancholic, energetic"
lucas estrada,other,indie pop,medium,"calm, happy, melancholic"
sonny fodera,electronic,house music,high,"happy, energetic"
musical youth,reggae,dancehall reggae,medium,"happy, energetic"
disclosure,electronic,house music,high,"happy, energetic"
puddle of mudd,rock,post-grunge,medium,"aggressive, energetic, melancholic"
liu,electronic,ambient techno,low,"calm, melancholic"
hardwell,electronic,progressive house,very_high,"happy, energetic"
will k,electronic,house music,high,"happy, energetic"
parul garg,other,indian classical,low,"calm, melancholic"
naturem,electronic,ambient techno,low,"calm, melancholic"
honey revenge,rock,pop punk,high,"energetic, happy, aggressive"
ashra,electronic,ambient electronic,low,"calm, psychedelic"
haikaiss,hip_hop,trap rap,high,"energetic, aggressive"
robert schumann,other,classical romantic,low,"calm, melancholic"
pax saturnum,electronic,ambient techno,low,"calm, melancholic, psychedelic"
matt sassari,electronic,tech house,high,"energetic, happy"
ben bhmer,electronic,deep house,medium,"calm, happy, energetic"
julian marley,reggae,roots reggae,medium,"calm, happy, melancholic"
selena gomez,pop,dance pop,medium,"happy, energetic"
rain,electronic,ambient chill,low,"calm, melancholic"
john denver,rock,folk rock,medium,"calm, happy"
literrain,electronic,ambient techno,medium,"calm, melancholic"
the rocketman,rock,glam rock,high,"energetic, happy"
chezidek,reggae,roots reggae,medium,"calm, happy"
moreno e moreninho,other,brazilian music,medium,"happy, calm"
duran duran,pop,synth-pop new wave,medium,"happy, energetic"
parov stelar trio,electronic,electro swing,medium,"happy, energetic"
james arthur,pop,singer songwriter,medium,"calm, melancholic, happy"
mild minds,electronic,chill wave,low,"calm, melancholic"
nao zumbi,other,experimental rock,medium,"melancholic, psychedelic, energetic"
mystical mantras,other,spiritual ambient,low,"calm, psychedelic"
vianney lopez,pop,singer-songwriter,medium,"calm, happy, melancholic"
dua lipa,pop,dance pop,high,"happy, energetic"
junam,electronic,ambient downtempo chill,low,"calm, melancholic, psychedelic"
xxxtentacion,hip_hop,emo rap,medium,"melancholic, aggressive, energetic"
seether,rock,post-grunge alternative,medium,"aggressive, melancholic"
capital monkey,electronic,experimental electronic,medium,"calm, psychedelic, energetic"
lumo,electronic,ambient pop,low,"calm, melancholic"
razes rasta,reggae,roots reggae,medium,"calm, happy, melancholic"
tujamo,electronic,house music,high,"energetic, happy"
waio,electronic,ambient techno,medium,"calm, psychedelic"
we4sessions,electronic,ambient techno,medium,"calm, psychedelic"
j worra,electronic,house music,high,"energetic, happy"
terrafractyl,electronic,psychedelic trance,high,"energetic, psychedelic"
journey,rock,arena rock,high,"energetic, happy, melancholic"
psysex,electronic,psytrance,high,"energetic, psychedelic"
iza,pop,contemporary R&B,medium,"happy, energetic"
yellowcard,rock,pop punk,high,"happy, energetic"
lilly wood the prick,pop,indie pop,medium,"calm, happy, melancholic"
rain recordings,electronic,ambient experimental,low,"calm, melancholic"
dragon ball z,other,anime soundtrack,medium,"energetic, happy"
gothboy,hip_hop,emo rap,medium,"melancholic, calm"
jacob miller,reggae,roots reggae,medium,"calm, happy, melancholic"
marie vaunt,electronic,synth pop,medium,"calm, happy, energetic"
northerly nature,other,ambient folk,low,"calm, melancholic"
joaquim e manuel,other,fado music,low,"calm, melancholic"
acraze,electronic,house music,high,"happy, energetic"
blondie,rock,new wave punk,high,"energetic, happy, aggressive"
macklemore ryan lewis,hip_hop,alternative hip hop,medium,"happy, energetic, melancholic"
avaion,pop,synth pop,medium,"happy, energetic"
flegma,electronic,ambient techno,low,"calm, melancholic"
jazzotron,electronic,jazz fusion,medium,"calm, psychedelic"
regnskur,electronic,ambient techno,low,"calm, melancholic"
surf curse,rock,indie pop,medium,"calm, melancholic, energetic"
home,electronic,chillwave ambient,low,"calm, melancholic"
empirikal,electronic,experimental ambient,low,"calm, melancholic"
arankai,electronic,experimental ambient,low,"calm, melancholic"
undefined behavior,other,experimental electronic,medium,"calm, psychedelic, melancholic"
outsiders,rock,alternative rock,medium,"melancholic, energetic"
claudinho buchecha,pop,brazilian funk,high,"happy, energetic"
craig pruess,other,world fusion,medium,"calm, happy, melancholic"
silent sphere,electronic,ambient downtempo,low,"calm, melancholic"
l spirit,other,experimental ambient,low,"calm, melancholic, psychedelic"
sam smith,pop,soul pop,medium,"calm, melancholic, happy"
atech,electronic,ambient techno,low,"calm, melancholic"
jon pardi,other,country music,medium,happy
1200 micrograms,electronic,psychedelic trance,very_high,"energetic, psychedelic"
anthony b,reggae,dancehall,medium,"happy, energetic"
sandy,pop,indie pop,medium,"happy, calm"
matanza,other,carnival metal,high,"aggressive, energetic"
1kilo,hip_hop,trap rap,high,"energetic, aggressive"
mastodon,metal,progressive metal,high,"aggressive, energetic, melancholic"
hypaton,electronic,dance pop,high,"happy, energetic"
louis armstrong,other,jazz traditional,medium,"calm, happy"
alkaline trio,rock,punk rock,high,"aggressive, energetic, melancholic"
horizon project,electronic,trance ambient,medium,"calm, psychedelic"
rooftime,electronic,chillwave ambient,low,"calm, melancholic"
mariana nolasco,pop,indie pop,medium,"happy, calm"
medieval lofi ensemble,electronic,lofi ambient,low,"calm, melancholic"
pantomiman,electronic,experimental ambient,low,"calm, melancholic"
djavan,other,brazilian pop,medium,"calm, happy, melancholic"
samuel moriero,other,experimental rock,medium,"calm, melancholic, psychedelic"
iamjakehill,hip_hop,emo rap,medium,"melancholic, energetic"
tom odell,pop,indie pop,medium,"calm, melancholic"
gorgon city,electronic,house music,high,"energetic, happy"
the cranberries,rock,alternative rock,medium,"melancholic, calm, energetic"
pitbull,hip_hop,dance rap,high,"happy, energetic"
good charlotte,rock,pop punk,high,"energetic, happy, aggressive"
glwzbll,electronic,experimental ambient,low,"calm, melancholic"
dj topo,electronic,house music,high,"energetic, happy"
backstreet boys,pop,boy band pop,medium,"happy, energetic"
karoly botvay,other,experimental electronic,medium,"calm, psychedelic"
golden drops,electronic,synth pop,medium,"calm, happy, energetic"
atoom,electronic,ambient techno,low,"calm, melancholic"
blessed mane,hip_hop,trap rap,medium,"energetic, happy"
grimes,electronic,synth pop,medium,"happy, energetic, psychedelic"
pt adamczyk,other,experimental pop,medium,"calm, melancholic, psychedelic"
nueki,electronic,ambient techno,low,"calm, melancholic"
mercuroid,electronic,ambient techno,low,"calm, melancholic"
sebastian ingrosso,electronic,progressive house,high,"happy, energetic"
heilung,other,folk industrial,medium,"calm, melancholic, psychedelic"
nat king cole,other,jazz pop vocal,low,"calm, happy, melancholic"
angel choir of peace,other,choir music,low,"calm, melancholic"
blur,rock,alternative britpop,medium,"happy, energetic, melancholic"
delta pure waves,electronic,ambient techno,low,"calm, melancholic, psychedelic"
the viceroys,reggae,roots reggae,medium,"calm, happy, melancholic"
dennis,other,experimental pop,medium,"calm, melancholic, psychedelic"
the red jumpsuit apparatus,rock,post-hardcore,high,"energetic, aggressive, happy"
avantasia,metal,symphonic power metal,high,"energetic, happy, melancholic"
lmfao,electronic,dance pop,very_high,"happy, energetic"
diamba,other,world music,medium,"calm, happy, melancholic"
dod,electronic,experimental ambient,low,"calm, melancholic"
rain inc,electronic,ambient techno,low,"calm, melancholic"
diogo nogueira,other,samba pop,medium,"happy, energetic"
waves of sine,electronic,ambient techno,low,"calm, melancholic"
bliss,electronic,chill out,low,"calm, melancholic"
mystical complex,electronic,ambient techno,low,"calm, psychedelic"
michael calfan,electronic,house music,high,"happy, energetic"
dj aguilar,electronic,electronic dance,high,"energetic, happy"
the killers,rock,alternative rock,medium,"energetic, melancholic"
groundation,reggae,roots reggae,medium,"calm, happy, psychedelic"
aroshanti,electronic,ambient chill,low,"calm, melancholic"
grouch,hip_hop,underground rap,medium,"calm, melancholic, energetic"
curbi,hip_hop,trap rap,high,"energetic, aggressive"
natalie taylor,pop,singer songwriter,medium,"calm, melancholic, happy"
vedic moon,electronic,ambient downtempo,low,"calm, melancholic, psychedelic"
sideform,electronic,ambient techno,low,"calm, melancholic"
pollo,other,experimental pop,medium,"calm, happy, psychedelic"
martmois,electronic,ambient techno,low,"calm, melancholic"
eric prydz,electronic,progressive house,high,"energetic, happy"
drip drop,electronic,experimental pop,medium,"calm, psychedelic, energetic"
macklemore,hip_hop,alternative hip hop,medium,"happy, energetic"
airi,pop,synth pop,medium,"happy, energetic"
ekanta,electronic,ambient techno,low,"calm, melancholic"
jason mraz,pop,acoustic pop,medium,"happy, calm"
capital cities,pop,indie pop,medium,"happy, energetic"
frankjavcee,hip_hop,lofi hip hop,low,"calm, melancholic"
jimmy eat world,rock,emo pop punk,medium,"energetic, melancholic"
agnes nunes,pop,indie pop,medium,"happy, energetic"
dynoro,electronic,dance music,high,"energetic, happy"
5 seconds of summer,pop,pop rock,medium,"happy, energetic"
ellie goulding,pop,synth pop,medium,"happy, energetic, melancholic"
don carlos,reggae,roots reggae,medium,"calm, happy, melancholic"
taiwan mc,hip_hop,dancehall reggae,high,"energetic, happy"
novelists,rock,post-hardcore,high,"energetic, aggressive"
tailormade rain,other,indie pop,medium,"calm, melancholic, happy"
bayside kings,rock,alternative rock,medium,"energetic, happy"
aeon,electronic,ambient techno,low,"calm, melancholic"
freakaholics,electronic,dance music,high,"energetic, happy"
enya,electronic,new age,low,"calm, melancholic"
kevin dangello,electronic,synth pop,medium,"happy, energetic"
paula fernandes,pop,country pop,medium,"happy, calm"
us agroboy,electronic,experimental electronic,medium,"calm, psychedelic, energetic"
jan blomqvist,electronic,deep house,medium,"calm, melancholic, psychedelic"
zanon,electronic,experimental ambient,low,"calm, melancholic"
killer be killed,metal,heavy metal,very_high,"aggressive, energetic"
lum1na n0va,electronic,synth pop,medium,"calm, happy, psychedelic"
essel,electronic,synth pop,medium,"calm, happy, energetic"
fenix tx,rock,pop punk,high,"energetic, happy"
space 92,electronic,techno progressive,high,"energetic, psychedelic"
steel pulse,reggae,roots reggae,medium,"calm, happy, energetic"
black sabbath,metal,heavy metal,high,"aggressive, energetic, melancholic"
albert hoffman,other,psychedelic rock,medium,"calm, psychedelic, melancholic"
elysion,rock,alternative metal,medium,"melancholic, energetic"
3 doors down,rock,post-grunge alternative,medium,"calm, melancholic, energetic"
3x3cute,pop,synth pop,medium,"happy, energetic"
s3bzs,electronic,experimental ambient,low,"calm, melancholic"
al gromer khan,electronic,ambient fusion,low,"calm, melancholic, psychedelic"
dr namaste,electronic,ambient downtempo chill,low,"calm, melancholic, psychedelic"
panjabi mc,hip_hop,bhangra fusion,high,"happy, energetic"
acidus,electronic,acid techno,high,"psychedelic, energetic"
panic at the disco,rock,pop punk,high,"energetic, happy, melancholic"
os filhos de gois,other,brazilian folk,medium,"calm, happy, melancholic"
empire of the sun,electronic,synth-pop,medium,"happy, psychedelic, energetic"
mau p,electronic,house techno,high,"energetic, happy"
felix mendelssohn,other,classical romantic,low,"calm, melancholic"
jaded,electronic,chillwave,medium,"calm, melancholic"
dreamvibes,electronic,chillwave ambient,low,"calm, melancholic, psychedelic"
flor de sal,other,indie pop,medium,"calm, happy, melancholic"
oh the joy,pop,indie pop,medium,"happy, calm"
natur musikanten,other,ambient folk,low,"calm, melancholic"
mellow fields,other,ambient pop,low,"calm, melancholic"
hillary,pop,synth pop,medium,"happy, energetic"
elysium,electronic,ambient chill,low,"calm, melancholic"
surrenderdorothy,hip_hop,cloud rap,low,"calm, melancholic, psychedelic"
out of orbit,electronic,ambient techno,low,"calm, melancholic, psychedelic"
bolghar,other,experimental electronic,medium,"psychedelic, calm"
places we go,other,indie pop,medium,"calm, happy, melancholic"
a perfect circle,rock,alternative metal,medium,"melancholic, psychedelic, calm"
arlindo cruz,other,samba pagode,medium,"happy, calm"
soundaholix,electronic,ambient techno,medium,"calm, psychedelic, energetic"
nature vibrations,electronic,ambient chill,low,"calm, psychedelic"
dada life,electronic,electro house,very_high,"happy, energetic"
neheart,electronic,ambient techno,low,"calm, melancholic"
face to face,rock,punk rock,high,"energetic, aggressive"
fabio fusco,electronic,ambient techno,low,"calm, melancholic"
zonderling,electronic,future bass,high,"happy, energetic"
zoa,electronic,experimental ambient,low,"calm, melancholic"
simply red,pop,soul pop,medium,"calm, happy, melancholic"
row,other,experimental pop,medium,"calm, psychedelic"
route 94,electronic,deep house,medium,"calm, happy, energetic"
counting crows,rock,alternative rock,medium,"melancholic, calm, happy"
nbsplv,electronic,experimental ambient,low,"calm, melancholic"
10,other,experimental electronic,medium,"calm, psychedelic"
weezer,rock,alternative rock,medium,"happy, energetic, melancholic"
hugel,electronic,house music,high,"happy, energetic"
tinlicker,electronic,progressive house,medium,"calm, energetic"
singers of the art of living,other,spiritual music,low,"calm, melancholic"
tim berg,electronic,progressive house,high,"happy, energetic"
zinan,electronic,ambient techno,medium,"calm, psychedelic"
epiphonema,other,experimental ambient,low,"calm, melancholic, psychedelic"
ticon,electronic,progressive trance,high,"energetic, psychedelic"
superjoint ritual,metal,sludge metal,very_high,"aggressive, energetic"
john newman,pop,soul pop,medium,"happy, energetic"
apashe,electronic,trap bass,high,"energetic, aggressive"
lipless,electronic,ambient house,low,"calm, melancholic"
eliza doolittle,pop,soul pop,medium,"happy, energetic"
teddy swims,pop,soul pop,medium,"happy, energetic, calm"
grupo revelao,other,regional mexican,medium,"happy, energetic"
dj brenno paixo,electronic,house music,high,"energetic, happy"
juice wrld,hip_hop,emo rap,medium,"melancholic, energetic"
michael douglas,other,experimental pop,medium,"calm, melancholic, psychedelic"
yves v,electronic,dance music,high,"energetic, happy"
mylane,electronic,synth pop,medium,"happy, energetic"
drown in sulphur,metal,blackened death metal,very_high,"aggressive, melancholic"
drophic,electronic,ambient techno,low,"calm, melancholic"
rezodrone,electronic,ambient drone,low,"calm, melancholic, psychedelic"
alien project,electronic,psychedelic trance,high,"energetic, psychedelic"
rick rastro,other,experimental electronic,medium,"calm, psychedelic"
justin bieber,pop,dance pop,medium,"happy, energetic"
dream on dreamer,rock,post-hardcore,high,"energetic, aggressive, melancholic"
pawsa,electronic,ambient techno,low,"calm, melancholic"
migos,hip_hop,trap rap,high,"energetic, aggressive"
dj tonetto,electronic,house music,high,"energetic, happy"
georges bizet,other,classical opera,medium,"calm, melancholic"
luke combs,other,country music,medium,"happy, calm"
black pantera,metal,groove metal,very_high,"aggressive, energetic"
ghost,metal,heavy metal,high,"aggressive, energetic"
polar night,electronic,ambient chill,low,"calm, melancholic"
thales dumbra,other,experimental electronic,medium,"calm, psychedelic"
earthbound,electronic,ambient techno,low,"calm, melancholic"
aerosmith,rock,hard rock,high,"energetic, aggressive"
kaspar,electronic,ambient techno,low,"calm, melancholic"
ectima,electronic,ambient techno,low,"calm, melancholic"
mensana,electronic,ambient techno,low,"calm, melancholic"
antiflag,rock,punk rock,high,"aggressive, energetic"
electric youth,electronic,synth pop,medium,"calm, happy, energetic"
francois smith,other,experimental rock,medium,"calm, melancholic, psychedelic"
anonymus tech,electronic,techno ambient,medium,"calm, psychedelic"
samantha machado,pop,synth pop,medium,"happy, energetic"
bob,rock,alternative rock,medium,"calm, melancholic, energetic"
rob zombie,metal,industrial metal,very_high,"aggressive, energetic"
the smiths,rock,alternative rock,medium,"melancholic, calm"
repiet,electronic,ambient techno,low,"calm, melancholic"
harmonious nature,other,ambient folk,low,"calm, melancholic, psychedelic"
andrea botez,other,streaming content,medium,happy
french 79,electronic,synth pop,medium,"calm, happy, energetic"
ovnimoon,electronic,psychedelic trance,high,"energetic, psychedelic"
